,,o,,,o,,,o,,3,o,,,o,,,o,,,o,,4,o
o,,o,o,,o,o,,o,o,,o,o,,o,o,,o,o,,o,o,,o
,,,,,,,,,,,,,,,,,,,,,,,
,o,o,o,,,,,,,,,,,,,,,,,,,,
,,,,,o,o,,,,,,,,,,,,,,,,,
,,,,o,o,o,o,,,,,,,,,,x,x,,,,,
,,,,,o,o,,,,,,,,,,x,o,o,x,,,,
,,,,,,,,,,,o,o,,,,,x,x,,,,,
,P,,,,,,,,,o,o,o,o,,,,,,,,o,o,G
,,,,,,,,,,,o,o,,,,,,,,,o,o,
,,,,,,,,,,,,,,,,,x,x,,,,,
,,,,,o,o,,,,,,,,,,x,o,o,x,,,,
,,,,o,o,o,o,,,,,,,,,,x,x,,,,,
,,,,,o,o,,,,,,,,,,,,,,,,,
,o,o,o,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
o,,o,o,,o,o,,o,o,,o,o,,o,o,,o,o,,o,o,,o
,,o,,,o,,1,o,,,o,,,o,,,o,,2,o,,,o
